Date,heading,detail,reference,Themes,type
2021-12-21,First new COVID-19 treatment approved for use in New Zealand,"Medsafe approves the first new COVID-19 medicine – Ronapreve, an antibody drug administered by injection, used to prevent and treat COVID-19. This comes after New Zealand secured access to the drug in late October 2021. An existing steroid treatment, Dexamethasone, is already approved for treatment of COVID-19. Ronapreve is available to those aged 12 and older who have a medical condition making them unlikely to respond to or be protected by vaccination, or who are not vaccinated against COVID-19. However, Ronapreve is not intended to be used as a substitute for vaccination. ","(Little, 2021; Medsafe, 2022; New Zealand Gazette, 2021)",Treatment,Treatment
2021-12-21,Government announces plan in response to Omicron variant ,"COVID-19 Response Minister Chris Hipkins announces precautionary measures to keep Omicron out of the community. The interval between the second dose of the vaccine and the booster is reduced from six months to four months, meaning over 82 per cent of vaccinated New Zealanders will be eligible for a booster by the end of February 2022. Eligible border and health workers are required to get the booster dose. The pre-departure test requirement to enter New Zealand is reduced from 72 hours to 48 hours before travel, and the reopening of the border is pushed out to the end of February. Everyone on an international flight with a case of Omicron is to be treated as a close contact. All countries are removed from the Very High Risk country list. Cabinet also confirms the decision to roll out paediatric doses of Pfizer for 5–11-year-olds from 17 January 2022, prior to school returning. Cabinet confirms the use of the traffic light system to manage outbreaks; in the event of an Omicron outbreak areas will move into the red setting.","(Hipkins, 2021h)",Governance,Governance
2021-12-21,Government announces extension of MIQ stay,"From 11:59 pm on 23 December 2021, all stays in MIQ will be extended to 10 days. This replaces the seven-day stay in MIQ followed by self-isolation at home for three days. These changes are in response to the Omicron variant. ","(New Zealand Government, 2021l)",Border control,Border
2021-12-16,Announcement of the first Omicron case detected in New Zealand,"Whole genome sequencing detects New Zealand’s first case of the Omicron variant in a recent international arrival who tested positive in a day 0/1 test at a Christchurch managed isolation facility. The case arrived in Auckland from Germany via Dubai on 10 December and flew to MIQ in Christchurch on an aircraft chartered for international arrivals. After testing positive, they are moved from the Crowne Plaza managed isolation facility to the Sudima Christchurch Airport dual-use managed isolation and quarantine facility. The case is fully vaccinated with two doses of the Pfizer vaccine. Director-General of Health Dr Ashley Bloomfield says that while the arrival of a new variant is concerning, New Zealand is well placed to manage Omicron cases.","(MOH, 2021dd)",Community outbreak,Outbreak
2021-12-15,Youngest COVID-19 deaths in New Zealand reported,"Two of the youngest people to die of COVID-19 in New Zealand are reported within a week of each other. On 15 December 2021, the Ministry of Health confirms a person in their late 30s died the previous week, the youngest person to die of COVID-19 in New Zealand. On 17 December 2021, the death of a Māori boy aged 0–9 years is recorded on the Ministry of Health website. The child tested positive for COVID-19 after his death, and the cause of death is under investigation (it is reported as a COVID-19 death because he died while infected). Māori account for 32% of all COVID-19 related deaths in New Zealand, while making up 17.1% of the population. As of 20 December 2021, there are a total of 49 deaths of people with COVID-19 recorded in New Zealand.","(Corlett, 2021; NZ Herald, 2021p; 2021q)",Māori,Māori
2021-12-13,Reviewed traffic light settings announced,"Prime Minister Jacinda Ardern announces that Auckland and all other regions currently in the Red traffic light setting, except Northland, will move to Orange at 11:59 pm on 30 December 2021. Northland will stay in Red. These settings will be in place until 17 January 2021. ","(Cooke, 2021b)",Traffic light,Traffic light
2021-12-03,Universities begin announcing vaccine mandates,"Auckland University announces they will require all students and visitors to have a valid My Vaccine Pass in order to come onto campus from 4 January 2022. Over the following month, the University of Otago, Victoria University of Wellington, University of Waikato, Massey University and Lincoln University also announce vaccination will be required for students and staff accessing their campuses from dates between January and February 2022. The University of Canterbury and Auckland University of Technology require fewer people to be vaccinated, but still require My Vaccine Pass in some settings, such as residential halls. The My Vaccine Pass work vaccination mandate applies to the tertiary education sector only at the Red level, allowing universities to make their own decisions regarding vaccine requirements.","(AUT, 2021; LU, n.d.; MBIE, 2021d; MU, 2021; UC, 2021; UO, 2021; UOA, 2021; UOW, 2021; VUW, 2021)",Vaccination,Vaccination
2021-12-03,Workers covered by My Vaccine Pass mandate need to be vaccinated,"All workers in businesses that must use My Vaccine Passes to operate or operate with fewer restrictions, at all levels of the COVID-19 Protection Framework, are required to have their first dose of the COVID-19 vaccine by 3 December 2021 and be fully vaccinated against COVID-19 by 17 January 2022. This mandate applies regardless of whether the business chooses not to require My Vaccine Passes from their customers or clients. The mandate applies to all workers, including both customer-facing and non-customer-facing workers. It also includes workers who access a site temporarily (such as cleaners and delivery drivers).","(MBIE, 2021d; New Zealand Government 2021h)",Vaccination,Vaccination
2021-12-03,My Vaccine Pass mandate implemented ,"As part of the traffic light system, it is now a legal requirement to provide the My Vaccine Pass to enter places that have vaccination requirements in place under the traffic light system. This includes food and drink services (excluding businesses operating solely as takeaways), events, close proximity businesses and indoor exercise facilities. My Vaccine Pass is not required to access basic needs services, such as supermarkets, public transport and essential health care. If an establishment chooses not to follow My Vaccine Pass requirements, there will be limits on the number of people in a venue.","(MBIE, 2021d; New Zealand Government, 2021k)",Vaccination,Vaccination
2021-12-02,Traffic light system implemented,"All of New Zealand moves to the COVID-19 Protection Framework, also known as the traffic light system, at 11:59 pm. This marks the end of the COVID-19 Alert System. The framework has three settings: Red (highest level of restrictions in place, as there needs to be action to protect vulnerable communities and the health system from COVID-19); Orange (there is community transmission of COVID-19, with increasing risks to vulnerable communities, and pressure on the health system); and Green (lowest level of restrictions as there is limited community transmission, and the health system is ready to respond). On 29 November 2021, Prime Minister Jacinda Ardern announced that Northland, Auckland, Taupō and Rotorua Lakes Districts, Kawerau, Whakatāne, Ōpōtiki Districts, Gisborne District, Wairoa District, Rangitīkei, Whanganui and Ruapehu Districts would move into the Red setting, while the rest of the North Island and the whole South Island would move to Orange. At this time, 85% of eligible New Zealanders are fully vaccinated. Key components of the COVID-19 Protection Framework include vaccination; My Vaccine Pass; capacity limits; record keeping (QR codes); and localised protections and lockdowns.","(Ardern, 2021e; New Zealand Government, 2021a; 2021j)",Traffic light,Traffic light
2021-12-01,COVID-19 Public Health Response (Vaccinations) Amendment Order (No 5) 2021 comes into force,"At 11:59 pm, the COVID-19 Public Health Response (Vaccinations) Amendment Order (No 5) 2021 comes into force. Clauses 9 and 10 came into force at 11:59 pm on 29 November 2021. The order amends the COVID-19 Public Health Response (Vaccinations) Order 2021. The amendments include replacing Schedules, changing ‘a COVID-19 vaccine’ to ‘the Pfizer/BioNTech COVID-19 vaccine’, and replacing certain dates with ones later in time.",NA,Vaccination,Vaccination
2021-11-29,AstraZeneca vaccine becomes available,"The AstraZeneca COVID-19 vaccine becomes available in New Zealand, as an alternative to the Pfizer vaccine. It is free, and available for people aged 18 years and over who cannot receive the Pfizer vaccine or for people who would like a different option. AstraZeneca requires two doses, with an interval of 4 to 12 weeks between doses. On 29 March 2022, Ministry of Health report 3,500 people had received two doses of AstraZeneca. ","(Andelane & Longley, 2021; Health Navigator NZ, 2021; RNZ, 2022k)",Vaccination,Vaccination
2021-11-26,Government announces workplace vaccination mandate will be extended to Police and Defence Force ,"All sworn members, recruits and authorised officers of the New Zealand Police and all New Zealand Defence Force staff are required to be vaccinated against COVID-19. They must have their first dose of the COVID-19 vaccine by 17 January 2022, and be fully vaccinated by 1 March 2022.","(New Zealand Government, 2021h; Wood, 2021)",Vaccination,Vaccination
2021-11-26,Report from independent advisory group released,"A report by the COVID-19 Independent Continuous Review, Improvement and Advice Group, Observations from the Recent Delta Outbreak and their Impact on Reconnecting New Zealanders, is (proactively) released. The group provides advice to the Minister for the COVID-19 Response on specific areas of the response where improvements could be made, with the benefit of alternative and independent perspectives. The report identifies four key layers of defence and response: vaccination; border processes; public health measures; and health system safety net. Key points are that urgent action is required, and doing nothing is not an option; the Delta outbreak has significantly exposed issues with respect to New Zealand’s preparedness for reconnecting. The report also notes the goodwill and tolerance of the general public to lockdowns and the closure of the borders is being challenged. The report is dated 23 September, and the government is criticised for not acting on its advice earlier. ","(COVID-19 Independent Advice Group, 2021; Hosking, 2021; New Zealand Government, 2021i; Wade, 2021)",Governance,Governance
2021-11-25,Government invests $1.5 billion into testing and home isolation,"The Minister of Health, Minister of Social Development and Associate Health Minister reveal information about the management of COVID-19 and of cases isolating at home. A person with COVID-19 isolating at home will receive a call within 24 hours from a health care provider and will receive a health pack tailored to their needs within 48 hours. Local health providers are to be involved earlier and on a greater scale for those who test positive. Welfare teams are set up in each region to facilitate tailored social support services for people isolating at home. Fully vaccinated people with COVID-19 must self-isolate for ten days; those who are unvaccinated must self-isolate for 14 days. Close contacts who are not linked by living in the same household are to isolate for seven days if fully vaccinated, and ten days if unvaccinated. Businesses will be able to source rapid antigen tests from 1 December 2021 and New Zealanders will be able to get their own rapid antigen tests from pharmacies from 15 December 2021. Test processing capacity at laboratories is to be boosted, from the current 16,000 PCR tests per day to 60,000 by early 2022. An additional 475 investigators will be trained by the end of November to aid contact tracing and case investigation efforts. $300 million is invested in boosting national drug-buying agency Pharmac to purchase more medicines to treat COVID-19.","(Pearse, 2021d)",Governance,Governance
2021-11-17,Man dies from myocarditis two weeks after first dose of the COVID-19 vaccine,"A 26-year-old man received his first dose of the Pfizer vaccine on 5 November 2021. On 17 November 2021 he dies, and preliminary information from the post mortem examination identifies myocarditis as the probable cause of death. The COVID-19 Vaccine Independent Safety Monitoring Board believes the man's death is probably linked to the vaccine.","(NZ Herald, 2021o)",Vaccination,Vaccination
2021-11-17,Government announces Auckland’s boundary restrictions to be eased 15 December,"Prime Minister Jacinda Ardern announces that the Auckland boundary will formally lift at 11:59 pm Tuesday 14 December 2021. This is will be the first day since the August 2021 lockdown was announced that Aucklanders are able to leave  Auckland. They will need to be fully vaccinated or have a negative test within 72 hours of departure to travel outside the Auckland boundary. This requirement is in place till 17 January 2022 and applies to anyone leaving Auckland but is not a requirement for entry . People breaking the rules will face an infringement fine of $1,000.","(Ardern, 2021d; Pearse, 2021c)",Border control,Border
2021-11-17,Government launches vaccine pass,"My Vaccine Pass is launched as an official record of a person’s vaccination status. The pass will allow fully vaccinated people to access places that require proof of vaccination status under the traffic light system. These may include events, hospitality, retail, community, sport and faith-based gatherings. The pass displays a QR code, the vaccine holder’s full name and date of birth, and the expiry date of the pass (six months from November). It can be added to a smartphone ‘wallet’ or printed out. The pass states that photo ID may be required to accompany it and that it cannot be used for international travel. Concerns arise over the pass being an editable PDF, as someone could change the name or expiry date. However, Ministry of Health group manager national digital services Michael Dreyer affirms that ‘[t]he QR code is scanned to verify authenticity and this relies on encryption. Any changes to the QR code will invalidate the key check and therefore can be identified as fraudulent.’","(1News, 2021; Keall, 2021)",Vaccination,Vaccination
2021-11-16,Parts of Waikato move to Alert Level 2,Parts of Waikato move to Alert Level 2.,"Auckland remains at Step 2, Alert Level 3.
The rest of New Zealand remains at Alert Level 2.
(New Zealand Government, 2021a)",Alert level,Alert level
2021-11-15,Workers in the education sector and health and disability sector required to be vaccinated,"Under the COVID-19 Vaccinations Order, certain roles in the education sector and all workers in the health and disability sector are required to have their first dose of the COVID-19 vaccine by 15 November 2021 and be fully vaccinated against COVID-19 by 1 January 2022. In the education sector this includes anyone who works, volunteers or does unpaid work in education and who may have contact with children or students while working, or will be at an education service when children or students are present. The order does not include tertiary institutions (or people that work within them) or certified playgroups (except for playgroups that operate on a school or early learning site or are run by a home-based childcare provider). All health practitioners and anyone who works closely with health practitioners (such as reception or cleaning staff) must be vaccinated. Care and support workers who go into people’s homes to provide services funded by the Ministry of Health, DHBs or ACC will need to be vaccinated (including family member of the person requiring care) must be vaccinated. ","(New Zealand Government, 2021h)",Vaccination,Vaccination
2021-11-14,MIQ stay reduced,"From 14 November 2021, the managed isolation period for international arrivals into New Zealand is reduced from 14 days to 7 days, followed by isolation at home until the result of a day 9 test has been received. Travellers will continue to undergo tests on day 0/1, day 3 and day 5/6 while in managed isolation. A low-risk indicator check and health check will be required before people can leave MIQ. This change will help provide more rooms for international arrivals, though not substantially, as modelling for the number of rooms needed for high-risk community cases is not yet conclusive enough. The fee for an individual in a room is reduced from $3,100 to $1,610.","(MBIE, 2021c)",Border control,Border
2021-11-12,MOH releases pre-existing health conditions of those who died while infected with COVID-19,"The Ministry of Health states that of the 33 people that died from COVID-19 or whose death is still under investigation, nine of those people had cardiovascular disease, five had chronic lung disease, seven had diabetes, eight had other underlying health conditions, and a small number had conditions such as renal failure, neurological or neuromuscular disease and malignancy. ","(NZ Herald, 2021n)",Community Outbreak,Outbreak
2021-11-11,"4,000 DHB workers not vaccinated","Approximately 4,000 district health board workers are not vaccinated as at 11 November. By 16 November, all DHB staff (including both clinical and non-clinical) must have had at least their first dose of Pfizer unless they have a medical exemption. Staff who do not choose to be vaccinated will be stood down.","(Quinn, 2021b)",Vaccination,Vaccination
2021-11-11,Northland moves to Alert Level 2,"Upper Northland moves to Alert Level 2. Auckland and parts of Waikato remain at Step 2, Alert Level 3. The rest of New Zealand remains at Alert Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-11-10,Changes to the reporting of COVID-19 related deaths,"Director-General of Health Dr Ashley Bloomfield announces that the government is changing the way in which it will publicly report deaths by COVID-19. The aim is to ensure reporting is timely and indicates other causes of death. The clinical criteria will continue to be guided by the World Health Organization definition, which is to report any death where the person has an acute COVID-19 infection, regardless of the cause of death. Deaths where the cause of death is not certain but the person had COVID-19 will be reported, but separately from deaths in which COVID-19 was the cause. Deaths where the cause is not certain will be classified as under investigation before further information from the clinicians or coroner is given.","(MOH, 2021cc; Quinn, 2021b)",Governance,Governance
2021-11-09,"Auckland moves to Step 2, Alert Level 3","Auckland moves to Step 2, Alert Level 3 at 11:59 pm. Parts of Waikato remain at Step 1, Alert Level 3. Upper Northland remains at Alert Level 3 and the rest of New Zealand remains at Alert Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-11-08,High Court Judge holds that vaccine mandate on border workers is legal,"Justice Cooke holds that requiring the vaccination of border workers under the COVID-19 Public Health Response (Vaccinations) Order 2021 is demonstrably justified in a free and democratic society. This makes the legislation compliant with the New Zealand Bill of Rights Act, s 5.",(Four Aviation Security Service Employees v Minister of COVID-19 Response [2021]),Vaccination,Vaccination
2021-11-08,Guest staying at MIQ facility dies,A guest who tested positive for Covid-19 dies at the Crowne Plaza Auckland MIQ facility. The person had arrived from overseas on 3 November.,"(NZ Herald, 2021m)",Border control,Border
2021-11-06,Workers in the corrections sector required to be vaccinated,"Under the COVID-19 Vaccinations Order, workers in the corrections sector are required to have their first dose of the COVID-19 vaccine by 6 November 2021 and be fully vaccinated against COVID-19 by 8 December 2021. This applies to all staff who work in prisons, including health care staff and professionals; psychologists working in prisons and the community; and many contracted providers and those who provide services in prisons.","(New Zealand Government, 2021h)",Vaccination,Vaccination
2021-11-02,New Zealand found to be slow to negotiate vaccine agreements,"Documents released under the Official Information Act show New Zealand has been slow to negotiate vaccine agreements. In May 2020 New Zealand’s vaccine taskforce (led by the Ministry of Business, Innovation and Employment) was established. In August 2020, the group was given funding and a mandate from Cabinet to begin negotiating with international pharmaceutical companies. Between October and December 2020, New Zealand signed four vaccine agreements. The New Zealand Herald reports that ‘the public was fed a soothing version of events shaped by outside PR help’. In comparison, between May and August 2020, the EU, US, UK, Canada, Australia, Singapore, Japan and South Korea had all negotiated vaccine agreements.","(MacNamara, 2021)",Governance,Governance
2021-11-02,Upper Northland moves to Alert Level 3,"Upper Northland moves to Alert Level 3. The parts of Waikato at Step 1, Alert Level 3 move to Step 2, Alert Level 3 at 11:59 pm. At Step 2 retail will open its doors, with the usual measures of wearing face masks and physical distancing. Public facilities such as pools and zoos open, and the number of people who can meet outdoors increases to 25. Auckland remains at Step 1 of Alert Level 3. The rest of New Zealand remains at Alert Level 2.","(New Zealand Government, 2021a; New Zealand Government, 2021g)",Alert level,Alert level
2021-10-28,Pfizer vaccine provisionally approved for two more years ,"Medsafe renews provisional approval for the Pfizer vaccine for a further two years, after the approval was due to expire on 3 November 2021. Pfizer is required to meet conditions and supply ongoing data from clinical trials and safety monitoring, as well as providing updates on any manufacturer. ","(Witton, 2021)",Vaccination,Vaccination
2021-10-27,Parts of Waikato move to Step 1 of Alert Level 3,"The parts of Waikato that are in Alert Level 3 move to the eased restrictions – ‘Step 1’. Auckland remains at Step 1, Alert Level 3, while the rest of New Zealand remains at Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-10-19,Northland moves to Alert Level 2,"Northland moves to Alert Level 2 at 11:59 pm. Auckland and parts of Waikato remain at Alert Level 3, while the rest of New Zealand remains at Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-10-08,Northland moves to Alert Level 3,"Northland moves to Alert Level 3 at 11:59 pm. Auckland and parts of Waikato remain at Alert Level 3, while the rest of New Zealand remains at Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-10-07,Waikato Alert Level 3 boundary extends,"From 11:59 pm the Waikato Alert Level 3 boundary extends to include Waitomo District, including Te Kūiti, Waipā District and Ōtorohanga District. Auckland remains at Alert Level 3 with some restrictions eased. The rest of New Zealand remains at Alert Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-10-05,Auckland moves to Step 1 of Alert Level 3,"At 11:59 pm Alert Level 3 restrictions ease in Auckland, to sub-level ‘Step 1’. Key changes include: people are able to connect with others outdoors, with no more than two households at a time, up to a maximum of 10 people; early childhood education returns for all; and people can move around Auckland for recreation such as beach visits and hunting. Parts of Waikato remain at Alert Level 3, while the rest of New Zealand remains at Alert Level 2.","(New Zealand Government, 2021a; New Zealand Government, 2021g)",Alert level,Alert level
2021-10-03,Air New Zealand requires international passengers to be vaccinated from February 2022,Air New Zealand announces international passengers departing from or arriving in New Zealand who are aged 18 and over will be required to be vaccinated from 1 February 2022. Those wishing to fly who are not vaccinated will be required to present proof that vaccination was not a viable option for them for medical reasons.,"(Air New Zealand, 2021c; Marris, 2021)",Vaccination,Vaccination
2021-10-03,Parts of Waikato move to Alert Level 3 ,"Raglan, Te Kauwhata, Huntly, Ngāruawāhia, Hamilton City and some surrounding areas move to Alert Level 3 for five days from 11:59 pm. Auckland remains at Alert Level 3 while the rest of New Zealand remains at Alert Level 2.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-10-02,Protests held against lockdown and alert level restrictions,"An anti-lockdown protest is held in Auckland, organised by The Freedoms & Rights Coalition. It is estimated over 1000 people attend, breaching Alert Level 3 restrictions of gatherings of no more than 10. On 12 October, Destiny Church leader Brian Tamaki appears before Auckland District Court on charges of intentionally failing to comply with the COVID-19 Public Health Response Act 2020 by organising and attending a gathering in an outdoor place in breach of Alert Level 3 restrictions. On 16 October, Freedom NZ protests occur in Auckland (2000 attendees) and Tamaki speaks to protesters. On the same day, there is a protest led by a Destiny Church pastor in Whangārei (1000 attendees). Protests also occurred in Mt Maunganui, Whakatāne, Gisborne, Havelock North, Wellington and Christchurch. On 30 October, an estimated 5000 people march through Auckland Central for what protesters call ‘Freedom Day’, and 1000 people gather in Nelson for a rally led by a Destiny Church pastor which includes speakers talking on the COVID-19 vaccine programme, 5G and abortion. At all protests there is little to no mask wearing and social distancing.","(Bell, 2021; de Graaf, 2021; Dillane, 2021; Sivignon, 2021; NZ Herald, 2021l; Williams, 2021)",Alert level,Alert level
2021-10-01,Applications for fourth round of wage subsidy open,"Applications for the fourth round for the wage subsidy scheme open for the 28 September to 11 October revenue round. Deputy Prime Minister Grant Robertson confirms that since the outbreak started, there have been 652,103 approved applications for the border wage subsidy and $4.2 billion of economic support has been paid out.","(Neilson, 2021g)",Financial support,Financial support
2021-09-28,Travel restrictions from Auckland ease,"Government announces that from 11:59 pm Aucklanders will be able to travel into a Level 2 environment if they are relocating permanently, if they have shared caregiving arrangements and if they are returning from Alert Level 3 to Alert Level 2. Travellers need to carry proof of reason to travel, they must not be sick, and need to complete a test 72 hours before departure. A test is also required within seven days of each crossing of the Auckland border for those with shared caregivers. ","(Cheng, 2021g)",Alert level,Alert level
2021-09-25,Upper Hauraki moves to Alert Level 2,Upper Hauraki moves to Alert Level 2 at 11:59 pm. Auckland remains at Alert Level 3 while the rest of New Zealand remains at Alert Level 2.,"(New Zealand Government, 2021a)",Alert level,Alert level
2021-09-21,"Maximum penalty for court-imposed fines increase to $12,000 for breach of COVID-19 rules","Government announces fines for COVID-19 infringements will increase from $300 to $4,000 for individuals. If the court imposes the fines on individuals, the maximum penalty will increase from $1,000 to $12,000. The increase in fines comes as Auckland prepares to move to from Alert Level 4 to Alert Level 3 on 22 September.","(Neilson, 2021f)",Governance,Governance
2021-09-21,Auckland moves to Alert Level 3,Auckland and Upper Hauraki move to Alert Level 3 at 11:59 pm. The rest of New Zealand remains at Alert Level 2.,"(New Zealand Government, 2021a)",Alert level,Alert level
2021-09-20,MIQ virtual lobby system rolled out,"The ‘virtual lobby’ voucher system, aiming to improve the MIQ booking system, begins. The first release is at 8 am, and 5,364 people from 117 countries manage to secure MIQ vouchers (3,205 rooms). At its peak there are 31,800 users in the queue. Thousands of people miss out on vouchers in the first release; MIQ reassures hopeful travellers there are several thousand vouchers still to be released through to the end of the year.","(MIQ, 2021a)",Border control,Border
2021-09-17,Experts call on Ministry of Health to improve its mask wearing guidelines,"In the wake of highly transmissible variants of COVID-19, a group of experts from Auckland University’s Koi Tū: The Centre for Informed Futures produce a Rapid Evidence Brief to improve mask use among New Zealanders. The brief includes suggestions for a public campaign to educate on correct mask wearing (and what masking practices are insufficient). It suggests that at Alert Level 2 and above masking practices should be strictly observed in places where people congregate. All essential workers, border workers and those staying at MIQ facilities (whenever they are outside their own rooms) are strongly recommended to wear certified N95 or similar respirator masks at all COVID-19 Alert Levels (and no other types of masks should be used in these high-risk situations). All N95 respirator mask users should receive training on the optimal individual fit and use of these masks.","(Wilkinson et al., 2021)",PPE,PPE
2021-09-17,A total of 78 Aucklanders charged with breaching lockdown restrictions,"78 people have been charged with a total of 82 offences related to Auckland lockdown breaches. Of these, 65 were for Failing to Comply with Order (Covid-19), 14 for Failure to Comply with Direction/Prohibition/Restriction, one for Failing to Stop (Covid 19-related), and two for Assaults/Threatens/Hinders/Obstructs Enforcement Officer. Police also arrest two people who allegedly used false documents to pass Auckland’s southern border checkpoint to travel to Taupō. On 15 September 2021, three essential workers were arrested for using their genuine worker passes to travel through the border to Tūroa ski field. ","(Neilson, 2021e)",Community outbreak,Outbreak
2021-09-17,"NZ Herald and NZME launch ‘The 90% Project’ initiativeThe New Zealand Herald and New Zealand Media and Entertainment (NZME) launch a joint campaign called ‘The 90% Project’ to track the vaccination of the eligible population, aiming for at least 90 per cent of the eligible population fully vaccinated by Christmas. The daily vaccination tracker was developed by data specialist Chris McDowall. Those presenting the initiative are the NZ Herald, Newstalk ZB, Northern Advocate, Bay of Plenty Times, Rotorua Daily Post, Hawke’s Bay Today, Whanganui Chronicle and NZME’s community papers.","(NZ Herald, 2021j; 2021k)",NA,Vaccination,Vaccination
2021-09-12,"Government secures additional 775,000 doses of Pfizer vaccine from Europe","The government expects to receive 1.8 million doses of the vaccine from Pfizer throughout September. An additional 775,000 doses are purchased to help meet the current surge in demand for vaccination. Of the 775,000 doses, 275,000 are purchased from Spain (which arrived 10 September) and 500,000 are from Denmark.","(Ardern, 2021b; 2021c)",Vaccination,Vaccination
2021-09-07,Most of New Zealand moves to Alert Level 2,"All of New Zealand moves to Alert Level 2 at 11:59 pm, except Auckland, which remains at Alert Level 4.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-09-02,Northland moves to Alert Level 3,"Northland moves to Alert Level 3 at 11:59 pm. All of New Zealand is at Alert Level 3, except Auckland, which remains at Alert Level 4.","(New Zealand Government, 2021a)",Alert level,Alert level
2021-08-31,Most of New Zealand moves to Alert Level 3,All of New Zealand south of Auckland moves to Alert Level 3 at 11:59 pm. Auckland and Northland remain at Alert Level 4.,"(New Zealand Government, 2021a)",Alert level,Alert level
2021-08-25,Concerns highlighted about government priorities ,Entrepreneur Nick Mowbray raises concerns about government ‘helicopter management’ and 'a lack of leaders’ understanding about what needs to be prioritised at a macro level. ,"(Mowbray, 2021)",Governance,Governance
2021-08-22,Contact tracers attempt to trace three people who used a walkway near MIQ facility,Authorities continue to investigate how the community outbreak started. Contact tracers seek to find three people who used a public walkway close to the Crowne Plaza MIQ facility. They were seen there at the time the person who was the potential source of the COVID-19 Delta outbreak was moved from the MIQ facility to managed isolation.,"(RNZ, 2021m)",Track and tracing,Track and tracing
2021-08-20,Government allows Pfizer vaccine for 12–18-year-olds,Parents of 12–18-year-olds may book a Pfizer vaccination for their child. Those aged 12–18 will be able to book for themselves from 1 September 2021. ,"(NZ Herald, 2021i)",Vaccination,Vaccination
2021-08-19,Latest outbreak linked to traveller from Sydney,"The Prime Minister confirms the current cases in the community outbreak are a close match with a traveller who returned from Sydney on a managed red zone flight on 7 August 2021. There are a total of 21 Delta cases in Auckland, with two in hospital. ","(NZ Herald, 2021i)",Community outbreak,Outbreak
2021-08-18,Wage Subsidy August 2021 becomes available,The Wage Subsidy August 2021 is available from 18 August to 9 December 2021. It is to help employers and self-employed people keep paying staff and protect jobs impacted by the alert level changes from 17 August 2021. Each round of the Wage Subsidy August 2021 is for a two-week lump-sum payment at the rate of $600 a week for each full-time employee and $359 a week for each part-time employee. This is the final wage subsidy under the Wage Subsidy Scheme. The Treasury reported that the Scheme paid out $18 billion between March 2020 and November 2021.,"(The Treasury, 2021; Work and Income, n.d.[c])",Financial support,Financial support
2021-08-18,Concerns raised about hospital ICU capacity ,"Health care professionals and academics raise concerns about the health system’s ability to cope with a large COVID-19 outbreak. The Ministry of Health notes the number of available ICU-capable ventilators has doubled since New Zealand’s ranking near the bottom of the OECD for per-capita ICU capacity last year. Despite the increase in equipment, there is still concern about actual resourced bed capacity. ","(Cheng, 2021f)",Health Care Services,Health care
2021-08-18,Four new community cases of COVID-19 ,"There are four new community cases of the Delta variant in New Zealand, including a fully vaccinated nurse from Auckland City Hospital. All are linked to the first case discovered in Devonport on 17 August.","(Neilson, 2021d)",Community Outbreak,Outbreak
2021-08-17,COVID-19 transmission at MIQ facility ,"Genomic testing finds transmission of the Delta variant between cases in separate rooms of the Jet Park Auckland MIQ facility. The transmission is considered likely to have occurred when doors to the rooms on opposite sides of the corridor were open at the same time. As a result, all MIQ facilities make immediate changes to procedures relating to meal delivery and health checks. ","(NZ Herald, 2021h)",Border control,Border
2021-08-17,Self-isolation requirements extend to household contacts of a person who has been at a location of interest,"A section 70 order (under the Health Act 1956) is issued which specifies requirements for people who attended locations of interest identified by the Ministry of Health. A further section 70 order is issued on 18 August for household contacts of people who have been at a specified location of interest, requiring the household contact to isolate as well, until the person who was at the location of interest has returned a negative test after five days.","(RNZ, 2021l)",Governance,Governance
2021-08-17,New Zealand moves to Alert Level 4,"One community case of the Delta variant is identified in Auckland. Prime Minister Jacinda Ardern announces that from 11:59 pm, the whole of New Zealand will move to Alert Level 4. Auckland and the Coromandel Peninsula will initially be at Alert Level 4 for seven days, while the rest of the country will be at Alert Level 4 for at least three days. This is the second time New Zealand has moved into Alert Level 4.","(MOH, 2021bb; MOJ, 2021; New Zealand Government, 2021a)",Alert level,Alert level
2021-08-13,Decision made not to use trialled Bluetooth contact tracing cards,"The Ministry of Health decides not to implement Bluetooth contact tracing cards (previously referred to as a ‘CovidCard’) nationally, following a trial of the cards in Rotorua in 2020. The Ministry notes privacy issues, the cost of the cards, and the need for everyone to be wearing one as some of the factors in the decision. ","(Garcia, 2021; Moir, 2020)",Track and tracing,Track and tracing
